comment,ip
"剧情跌宕起伏，反转再反转(⊙o⊙)，刚开始还以为孤星社成员真的就全员牺牲了，但是后面看到之前都布置好了，到最后好惊讶/::O，惊讶于每个演员塑造的形象都很饱满，惊讶于后面没有彩蛋，惊讶于没有主角光环和那个时代明知很危险但还是义无反顾的无名者，是他们踏着孤星的微光一步步走向光明，我们今天的和平来之不易啊。
很推荐大家看这部影片😊",重庆
很好看的谍战片 主角没光环 敌人有脑子 导演把故事讲得很好 是部大制作 身边看过的人都说好看 全程高能反转 前期的铺垫过渡 后期超级紧张 主演的演技也都在线 片尾曲的那首别丢了你的勇敢已经循环播放了 超级推荐去看,河北
超级好看 剧情反转很大,广东
说实话，就这个演员阵容本来抱的期待不是特别大，但是意外的都很不错哎。,河南
"🌟 推荐
反转的部分超级好看 很值得去看一下",湖南
特别好看，反转很多，这是我看过最好看的一部电影了，真的很值得去看，有伤感剧情，有悬疑的，演员演技也都在线，我是看所有电影都看不进去看不懂意思的人，但是这部电影真的让我看不够还想看，超级期待,山东
"孤星计划真的好看！给了我很大的惊喜，全程热血刺激并且悬疑还带有反转，有的片段晚上看真的会害怕，甚至看完还有点意犹未尽

孤星计划这个电影名比之前的盗火者更贴合，孤星计划更代表孤星社里热血青春的这一批年轻人，而且在影片开始出现孤星计划名字的时候特别闪耀，最后星星的画面和这个名字相关联也是特别的唯美，就像象征着星星之火可以燎原，孤星相聚可以闪耀星空
然后电影带给我的感觉是让我真的沉浸其中，在热血的时候一样热血，在特别紧张的片段时跟着一样紧张，在剧情反转的时候有着哇一样的惊喜，在他们牺牲时和他们一样的心痛，在李一民被各种挨打时一样的心疼，也在李一民最后选择牺牲时眼泪唰一下的就流下来
电影有很多的紧张点和哭点，剧情也特别的紧凑，反转反转又反转带来很多的惊喜，第一次大的反转应该是很多人都不会想到的，第二次大的反转也直接让计划得以顺利完成，在很多地方都埋了一些伏笔，到之后会发现每一个画面出现都是有存在意义的，还有最后回顾的画面和演唱歌曲别丢了你的勇敢都是相呼应的：我们终将离开这个世界，记得别丢了你的勇敢

孤星计划是属于年轻人的热血青春悬疑谍战片，生如夏花般热烈，死如秋叶般静美，看完让人热泪盈眶，",山西
中肯的讲，感觉一般，在同题材电影里面全是垫底，感觉悬疑的点不够，没有让人很出乎意料。尤其是王源的演技和对角色的塑造，很容易让人出戏。感觉他没有为这个角色倾注太多心血，尤其是戏中被电刑的时候，脸上的肉抖嘟嘟的，真的很跳脱。希望剧中的青年以后再对自己的演技下一下功夫！,山东
剧情反转，还不错,江苏
勇敢的青少年 谢谢他们 也谢谢演员们 让我知道更多历史故事,广东
結局王源死了 很傷心,广东
后半段太精彩了！持续高能！王源的眼神戏太好了 最后主题曲响起鸡皮疙瘩都起来了 就算是孤星也能冲破黑暗抵达黎明！,无法获取
跟看了场综艺剧本杀似的，也是花钱吃上史了,河北
什么破玩意儿，浪费时间，毫无新意毫无营养毫无深度毫无共情，宣传的反转一开始就能猜出来，主角完全撑不起来,北京
看睡着了 整个剧情跟小学生流水账一样,上海
这半分纯粹是给这个题材，开头10几分钟还在那言情，秀恩爱！看得我** 直接走人,广东
垃圾片，太差了,陕西
看到王源那纱布就不想看,广东
说实话，太过普通。,无法获取
逻辑有硬伤。,河南
王源全电影的败笔。看见他都入不了戏，和易洋千玺和王俊凯齐名真的拉低了别人的档次,四川
超级好看👀，全员演技在线，可以二刷的那种,广东
这是我看过最烂的一部电影,广东
第一次评分，真的难看,上海
感觉还不错，哥三个都要越来越好,河南
非常棒的电影  铭记历史不忘先烈,广西
"一般般，可以看！
",重庆
"故事围绕“孤星计划”展开，前面部分情节更多的是交代背景，精彩的部分是一个又一个反转！！那个年代，没有主角光环，是活下来的人才成为了主角。 年轻演员们的演技还有进步空间，希望会越来越好。故事没有强行营造泪点，情节发展看似意料之中，却也在意料之外。当内鬼出现，人物对立反转出现，我和身边的人们都倒吸了口凉气。
前部分的铺垫有种青春爱国气息扑面而来的赶脚，但后面的剧情真的很精彩，也交代了反转真相的缘由。影片的画面质感非常好，特定背景下学生的摇旗呐喊，营救计划进行中的刺激紧张，都很不错。别丢了你的勇敢，歌声响起满是感动。
小人物的故事映射了大时代，无次数感恩生活在和平年代，和平国家。千千万万的他们，成就了今天。",广东
"很好哭！
青年一代是新时代的希望，我们朝气蓬勃，我们勇往直前，我们不畏生死，我们砥砺前行！",山东
强推！超好看！,广东
这次演的真好,江苏
"“我们不能选择自己的过去，但我们能选择自己的未来”
渡黑夜，向黎明我们都别丢了自己的勇敢 #孤星计划#",广东
这剧情太燃了🔥，看得我心潮澎湃！,辽宁
剧情好看真好看,江苏
真的很差很差。,江苏
王源超话wy#王源#wy#电影孤星计划#wy#王源电影孤星计划#wy#王源李一民#大家都快去豆瓣打打分吧@TFBOYS-王源@电影孤星计划,广东
#电影孤星计划##电影误判#一天看两场，该说不说，腰有点疼,辽宁
#左奇函王源#不得不说大多数粉还是很尊重师兄的来看孤星计划#电影孤星计划#,山东
孤星计划我的评分：#电影孤星计划#🌟总体评价：感觉蛮不错的，还多了解了一些历史，知道了周总理也叫胡少华🎥故事题材：谍战片，并没有像某些人说的是青春爱情片，其实我不大能看出来有什么爱情，更多的是友情和爱国吧🎭演员表现：冲着王源去的，但是大家都好棒！,江苏
王源超话#电影孤星计划#孤星社的成员也许永远不知道拼死护送的“胡先生”是谁，但他们知道“胡先生”能够拯救国家，拯救人民李一民是个虚构的形象，但却是众多爱国青年的一个缩影，会有千千万万颗“孤星”照亮在黑夜中迷失的人们王源你说让我们抛开粉丝滤镜给你提建议，但我想说抛开粉丝滤镜，你真的是一个很棒的演员，你没有愧对演员这个身份，你要相信自己，我知道有些人会带着偏见去评价你，我们没办法改变，但总有人会发现你的闪光点的,广东
王源超话#电影孤星计划#,山西
孤星计划我的评分：#电影孤星计划#好看的李一民和梦华演得不错。剧情紧凑没有一个镜头是多余的,江苏
#电影孤星计划#看完了，还不错，剧情也很紧凑，反转，反转再反转，王源表现的也很不错，比我预期的整体都要高，虽然是不敢兴趣的题材，但是看了也热血沸腾，为那时候的人们感到钦佩，太多无名的人为了这个国家，做出了太多的牺牲，默默无闻，看哭了。,湖北
孤星计划我的评分：#电影孤星计划#孤星计划这部电影存在的意义就是让我们牢记历史和一民一样有爱国意识“我不知道我们什么时候能在相见但信仰会让我们再次相逢”剧情反转再反转！真的值得一看！,山东
