comment,ip
这是最近几年看过最棒的动画片，无论是剧情还是人物写照。都反映出现实生活中那些奋斗的人。加油！希望此作品获得更高评价。,新疆
希望还有第三部,云南
就这样吧，雄狮少年变成格斗少年,四川
真的很好看！,陕西
非常好看 但是排片非常少   不忍心一个佳作被埋没,无法获取
剧情接上一部，非常精彩。,广西
如果不去跟第一部做对比，单独来看是一部很好的电影，分开来看的话故事线第一部是讲舞狮，第二部是讲格斗的。画面真的做的挺好的，非常逼真有细节，有些地方堪称实景了。打斗动作很到位，推荐！,湖北
特效拉满，把我感动到哭。,广西
年度最佳电影,无法获取
不错，燃烧的青春,贵州
真的很不错的一部国漫，第一部出来没去电影院看，因为那些争议。后面看了后被深深吸引！真的非常不错，动漫也在改进！希望越来越好加油！,四川
无法形容它带给我的震撼  从来没有一部电影让我感觉语言如此匮乏  我和我的女儿看完 她看着我我看着她  太好看了太好看了 我们都久久不能平静  如果这都不算好电影  我不知道怎么表达  真的非常好看  非常燃！！！这是一部好电影  方方面面好 好到让我挑不出来它的毛病  无论是故事情节还是插曲  都让人感觉热血沸腾  雄狮少年值得！！！,广东
差评，不好看,广东
最最爱的阿娟！,广东
"看到猛男落泪 热泪盈眶[流泪][流泪][流泪]真的不要太好看了
📚 剧本",广东
我辈岂是蓬蒿人,广东
好看，画风比第一部好看精致了，剧情没有第一部燃,江苏
非常值得二刷三刷的电影！剧情完成度高，动作设计流畅合理，拳拳到肉的打击感，以及雄狮般少年的心，部分画面可以以假乱真让人觉得是实拍照片相当强，还有各种隐喻，真是国漫崛起！近五年最好的国漫电影！,湖北
电影真的十分好看，看得我热泪盈眶，让我不禁想起我自己的经历，十分具有感染力，我特别推荐这部电影一家三口一起来看，十分好评,山东
"第一部的时候网上看的，第二部来影院补票，跟第一部一样的燃，后劲儿一样的大，太好看了！
叙事节奏真不错，励志感人的剧情太戳泪点了，小人物的视角很容易代入，最后那场拳忍不住在影院振臂但没好意思欢呼，传统文化就是最强的！
今天注意到雄狮少年的英文标题是I am what I am，阿娟就是每一个无名之辈中的你和我，再一次被击中，期待第三部",天津
强烈推荐，从剧情、动画、特效等方面，应该是同题材中最棒的，适合带着孩子去看,山东
"🌟 推荐
画面很真实，有好多瞬间我都不知道是实拍还是动画了，音乐配的也很到位",海南
"好的作品和人一样，不自己亲身感受
真的无法道出其中的味道
真的非常好看，是一个不折不扣的国产好动漫

里面的场景很符合实际，画质也特别好
欠雄狮少年1一张电影票

真只有在电影院看才有震撼

彼时的少年站在成长的巅峰
回首来时的道路满路崎岖早已鲜花盛开",贵州
剧情流畅，画质比第一部提升不少，泪点没第一部多，这一部没有太令人深刻的主题曲,辽宁
带孩子去看吧！带学渣躺平的孩子去看吧！,湖南
非常好，天花板,浙江
最后呢，就只是两个人没能在一起罢了,四川
真的很好看，比第一部好看,内蒙古
第一部因为被网暴误导没有去电影院看，后来在电视上看了一次，看得热泪盈眶。第二部果断带着孩子去看了。依旧很燃，很精彩。打出十分！！！第一部我打11分！！,湖南
画面流畅，剧情一般,重庆
