comment,province
#电影好东西#太喜欢了就像做了一场精神按摩泡了一会儿温泉和女性朋友谈一整晚天真的很好笑是可以媲美喜剧电影的轻松式好笑又很温暖是可以从中汲取力量的温暖也会有刺痛的瞬间眼泪是突然下来的不过得到最多的是：不要怕搞砸了又怎么样打不了不玩这场游戏了砸又能砸到哪里去呢不用怕被骂不用怕失败不用怕开始总之这是一场让我很舒服很舒服的电影非常非常喜欢,上海
好东西真的很值得！观影过程非常欢乐，不论男女都哈哈哈，结局有静静流淌的美好。女性之间的互助太让人动容了！#电影好东西#,广东
#电影好东西#,黑龙江
#电影好东西#近几年最佳,湖南
#电影好东西#看完，云里雾里。我是男的。,四川
我觉得我即是王铁梅也是小叶更是小孩#电影好东西#,上海
好看，年度最爱电影🙌#电影好东西#,江苏
给电影添砖加瓦🫶🏻#电影好东西#,广东
怪不得还没公映，豆瓣就给了9.0的高分。它的确是那种一年只会出一部的电影。其独特的题材注定要处在舆论的风口浪尖之上，但这并不影响影片本身的高质量。#宋佳##电影好东西#,河北
这才是真正的精选，不过这#电影好东西##虎扑评分#的一星差评确实让人深思。L影迷笔记的微博视频,北京
真是好东西#电影好东西#,山东
周末是视听食盛宴！#电影好东西#《你读过几本上野千鹤子？》给我笑腾了#权志龙新歌#Kpop真神回归，今夕是何年！,上海
#电影好东西#是个好东西值得瞧一瞧,广东
关于女性话题，感觉很多东西都已经有自己的答案，不太需要一个电影来教育我或者教给我什么。但最近网上关于电影《好东西》都吹上天了，我就很好奇，到底是有多好看，于是带着审视的态度去看了这部电影，结果被惊艳到了。明明是一个喜剧片，但没怎么笑，反而泪目好多次。看完后我在想为什么，我想是共鸣吧。观影过程中发现这个电影想表达的和我此前想的一样，像是突然遇见了一个知己，你没有说什么，但是她看见了你的所有，理解你的所有，抱了抱你，然后你喜极而泣。#电影好东西#,四川
第一次坐电影院的躺椅#好东西##电影好东西#轻松又超级有力量！有被治愈到,黑龙江
以前觉得单亲妈妈肯定特别难熬，现在觉得我们可以有更多的选择，也可以过的很酷。过去总是太悲观，害怕失去，无限的放大对未知的恐惧，事实上，没啥大不了的，失去了，搞砸了，也不会怎么样。甚至这种失去，会将你带入全新的拐点，见识不一样的风景，找到真正的自我。女强人，恋爱脑，没有特长的小孩，这些都是别人嘴里的标签，这个世界根本没有裁判，没有谁规定你必须走哪条路，活成什么样子。像王茉莉那样，喜欢当一名观众也挺好的。你看，只要是自己喜欢的，怎样都好。能让你开心的，那就是好东西。对了，最最喜欢声音蒙太奇那段，绝绝子啊#电影好东西#,安徽
一个人看电影✅不得不说，《好东西》这部电影真的好好看啊，和以往的很多女性主义电影都不一样#电影好东西#,重庆
#电影好东西#宋佳：爱的前提是尊重宋佳说，东北冷，还是上海冷，我从东北到上海戏剧学院，第一次感觉到冬天的冷，操场上，我是唯一的全包裹女孩，大衣帽子围巾，一看就是我。宋佳说，进了上戏，还有一个不适应，什么都是甜的，那么大的一块排骨，居然也是甜的，好长一段时间，我都觉得，是不是陷在甜甜蜜蜜的罐子里了。宋佳说，东北是干冷，上海是湿润的，我的球鞋都长毛了，这在以前是难以想象的，过了很久我才适应这个环境，后来去的地方多了，也就习惯了。麻瓜看电影超话L空船侠影的微博视频,北京
